timestamp,open,high,low,close
1753557420,1070.11,1072.14,1069.26,1071.36
1753557480,1071.66,1072.52,1071.66,1072.36
1753557540,1071.81,1074.02,1071.34,1072.78
1753557600,1072.55,1072.55,1070.67,1071.34
1753557660,1071.34,1072.46,1070.75,1072.2
1753557720,1072.25,1073.34,1071.95,1072.93
1753557780,1072.9,1074.13,1072,1073.44
1753557840,1073.48,1073.96,1072.67,1072.67
1753557900,1072.5,1074.56,1072.47,1074.56
1753557960,1074.7,1074.7,1073.73,1073.9
1753558020,1073.92,1074.57,1073.43,1073.87
1753558080,1073.56,1073.94,1072.64,1073.17
1753558140,1072.81,1074.39,1071.49,1071.52
1753558200,1071.44,1072.48,1071.19,1072.12
1753558260,1072.11,1072.31,1070.55,1070.72
1753558320,1070.83,1072.96,1070.83,1072.26
1753558380,1072.36,1073.04,1070.1,1070.1
1753558440,1070.01,1070.27,1068.63,1068.76
1753558500,1069.04,1069.3,1067.39,1068.31
1753558560,1067.87,1068.75,1066.7,1066.7
1753558620,1066.3,1066.93,1065.6,1065.9
1753558680,1065.96,1066.62,1064.8,1065.45
1753558740,1065.8,1065.96,1064.66,1065.32
1753558800,1065.64,1066.53,1065.13,1065.79
1753558860,1065.24,1065.71,1064.74,1065.54
1753558920,1065.38,1066.6,1063.48,1063.56
1753558980,1063.23,1063.23,1061.39,1062.88
1753559040,1062.97,1064.63,1062.4,1064.27
1753559100,1064.09,1065.73,1064.09,1064.82
1753559160,1064.85,1065.48,1064.47,1065.19
1753559220,1065.31,1067.75,1065.31,1067.55
1753559280,1067.56,1069.42,1067.18,1069.36
1753559340,1069,1069.67,1067.7,1069.65
1753559400,1069.64,1071.76,1069.32,1071.05
1753559460,1071.04,1072.7,1071.04,1071.87
1753559520,1072.01,1075.4,1071.78,1075
1753559580,1074.81,1075.81,1074.38,1074.45
1753559640,1075.08,1075.54,1072.09,1072.09
1753559700,1072.49,1074.43,1072.49,1073.6
1753559760,1073.09,1073.48,1072.39,1072.61
1753559820,1072.63,1073.84,1072.63,1072.75
1753559880,1073.14,1074,1072.34,1073.19
1753559940,1072.85,1073.4,1071.88,1072.44
1753560000,1072.59,1073.19,1070.38,1071.38
1753560060,1071,1071.36,1069.06,1069.13
1753560120,1069.18,1069.31,1067.09,1068.33
1753560180,1068.41,1068.79,1066.83,1068.65
1753560240,1068.42,1070.73,1068.42,1070.21
1753560300,1070.11,1071.49,1070.03,1070.03
1753560360,1069.98,1070.35,1068.49,1070.05
1753560420,1069.72,1070.88,1068.66,1068.9
1753560480,1068.56,1069.16,1067.76,1069.16
1753560540,1068.87,1069.85,1068.37,1069.24
1753560600,1068.74,1068.74,1065.35,1065.35
1753560660,1065.14,1067.79,1064.17,1067.65
1753560720,1068.16,1068.18,1066.96,1067.53
1753560780,1067.5,1069.81,1066.94,1069.08
1753560840,1069,1070.03,1068.32,1068.43
1753560900,1068.46,1069.31,1067.7,1068.73
1753560960,1068.23,1069,1066.89,1067.71
1753561020,1068.03,1069.19,1067.5,1068.56
1753561080,1068.35,1070.26,1067.61,1069.89
1753561140,1070.26,1070.39,1067.09,1067.51
1753561200,1067.67,1069.81,1067.26,1069.11
1753561260,1069.03,1069.29,1066.64,1067.08
1753561320,1067.09,1069.35,1066.72,1069.28
1753561380,1069.06,1070.6,1069,1070.54
1753561440,1071.03,1071.78,1068.74,1068.74
1753561500,1069.23,1069.82,1068.66,1069.51
1753561560,1069.53,1070.68,1068.63,1070.26
1753561620,1070.14,1070.69,1069.23,1069.83
1753561680,1069.84,1070.29,1069.09,1070.1
1753561740,1069.81,1069.81,1067.44,1069.25
1753561800,1069.64,1070.52,1068.95,1068.95
1753561860,1068.7,1068.7,1066.66,1067.4
1753561920,1067.32,1069.11,1066.33,1069.11
1753561980,1069.2,1070.47,1069.05,1070.28
1753562040,1070.19,1070.75,1068.32,1068.74
1753562100,1068.68,1069.38,1066.3,1066.96
1753562160,1066.94,1067.01,1065.14,1065.53
1753562220,1065.53,1068.42,1065.27,1068.27
1753562280,1068.14,1070.78,1066.97,1070.78
1753562340,1070.93,1071.51,1070.48,1071.08
1753562400,1071.77,1072.76,1071.35,1072.41
1753562460,1072.17,1072.85,1071.38,1072.85
1753562520,1073.11,1073.11,1071.16,1072.35
1753562580,1072.33,1072.33,1071.16,1071.68
1753562640,1071.74,1071.91,1069.84,1070.29
1753562700,1070.67,1071.42,1069.57,1071.1
1753562760,1071.07,1072.07,1069.38,1069.74
1753562820,1069.46,1070.62,1069.46,1069.75
1753562880,1069.55,1069.77,1067.27,1067.27
1753562940,1066.93,1068.16,1066.91,1067.22
1753563000,1067.58,1070.63,1067.58,1070.09
1753563060,1070.16,1071.54,1070.14,1070.14
1753563120,1070.23,1070.23,1067.8,1068.17
1753563180,1068.14,1068.55,1067.15,1068.49
1753563240,1068.44,1068.44,1066.65,1066.84
1753563300,1066.6,1066.99,1065.65,1066.46
1753563360,1066.94,1068.13,1066.4,1066.94
1753563420,1066.49,1066.98,1065.52,1066.59
1753563480,1066.57,1067.22,1066.03,1066.67
1753563540,1066.72,1067.85,1066.63,1067
1753563600,1066.74,1066.74,1064.24,1066.33
1753563660,1066.34,1068.64,1065.69,1068.64
1753563720,1068.67,1070.72,1068.67,1069.6
1753563780,1069.47,1069.47,1068.13,1068.13
1753563840,1067.93,1067.93,1065.97,1066.36
1753563900,1066.43,1066.69,1064.79,1064.95
1753563960,1064.95,1065.8,1064.25,1064.68
1753564020,1064.72,1065.93,1064.09,1065.7
1753564080,1065.88,1068.76,1065.88,1067.8
1753564140,1067.68,1067.96,1066.09,1067.57
1753564200,1067.77,1068.6,1067.31,1068.6
1753564260,1069.13,1070.94,1068.52,1070.8
1753564320,1070.6,1071.11,1068.95,1069.68
1753564380,1070.32,1071.7,1070.32,1070.56
1753564440,1071.25,1073.39,1071.25,1073.39
1753564500,1073.51,1075.91,1073.2,1075.05
1753564560,1075.27,1078.6,1074.62,1078.48
1753564620,1078.58,1078.58,1075.22,1077.39
1753564680,1077.22,1080.21,1077.22,1079.72
1753564740,1080.03,1080.87,1078.63,1078.87
1753564800,1078.98,1081.1,1078.21,1079.85
1753564860,1079.98,1080.82,1079.87,1080.41
1753564920,1079.82,1080.65,1079.36,1079.49
1753564980,1079.98,1080.01,1077.79,1078.1
1753565040,1077.95,1078.6,1077.54,1078.04
1753565100,1078.4,1079.49,1077.67,1078.15
1753565160,1078.36,1079.03,1077.88,1077.88
1753565220,1078.08,1078.46,1075.76,1075.76
1753565280,1075.97,1075.97,1072.9,1072.97
1753565340,1073.01,1073.8,1072.43,1072.46
1753565400,1072.49,1072.49,1069.83,1069.94
1753565460,1069.75,1073.05,1069.75,1073.03
1753565520,1072.85,1073.7,1071.77,1072.18
1753565580,1071.89,1074.81,1071.89,1074.37
1753565640,1074.23,1074.82,1073.41,1074.82
1753565700,1074.74,1075.03,1071.84,1071.91
1753565760,1072.09,1074.44,1072.01,1073.76
1753565820,1074,1074,1072,1072.99
1753565880,1072.87,1074.69,1072.7,1074.69
1753565940,1074.46,1077.35,1073.89,1077.19
1753566000,1077.46,1078.54,1076.92,1078.54
1753566060,1078.62,1078.91,1076.11,1076.9
1753566120,1076.72,1077.98,1076.04,1076.26
1753566180,1076.01,1080.52,1075.96,1080.52
1753566240,1080.28,1080.48,1079,1079.6
1753566300,1080.14,1081.87,1080.14,1080.93
1753566360,1081.5,1082.9,1081.44,1082.72
1753566420,1082.93,1085.08,1082.73,1084.93
1753566480,1085.07,1085.42,1083.45,1083.89
1753566540,1083.71,1083.85,1081.94,1082.59
1753566600,1082.7,1085.35,1082.7,1084.83
1753566660,1085.17,1086.68,1084.97,1085.96
1753566720,1085.98,1086.19,1083.81,1084.29
1753566780,1084.29,1087.62,1084.29,1087.6
1753566840,1087.75,1091.14,1087.75,1090.68
1753566900,1090.65,1091.08,1089.71,1090.81
1753566960,1091.07,1091.07,1089.25,1089.53
1753567020,1089.77,1090.53,1089.12,1089.12
1753567080,1089.43,1089.77,1088.17,1089.77
1753567140,1089.48,1089.83,1088.1,1088.59
1753567200,1089.02,1089.04,1086.21,1086.48
1753567260,1086.51,1089.45,1086.19,1089.43
1753567320,1089.45,1091.22,1088.74,1090.72
1753567380,1090.41,1090.85,1088.57,1088.57
1753567440,1088.6,1090.02,1087.87,1089.98
1753567500,1089.81,1089.81,1089.01,1089.37
1753567560,1089.7,1089.74,1087.41,1087.41
1753567620,1087.23,1087.55,1085.23,1085.36
1753567680,1085.55,1086.4,1083.85,1083.85
1753567740,1083.76,1084.37,1082.01,1083.1
1753567800,1083.17,1083.17,1081.41,1082.45
1753567860,1082.2,1083.53,1081.81,1082.39
1753567920,1082.67,1084.7,1082.67,1084.5
1753567980,1084.33,1085.71,1084.02,1085.1
1753568040,1085.17,1085.35,1082.96,1085.08
1753568100,1084.65,1086.41,1084.51,1086.15
1753568160,1086.17,1087.25,1085.08,1085.08
1753568220,1085.12,1085.12,1082.04,1083.53
1753568280,1083.08,1084.51,1082.93,1083.76
1753568340,1083.56,1083.62,1082.16,1082.38
